,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
177,37.0,Austin Seibert (DET),6.0,9.0,66.7,48.0,0.0,0.0,5.0,1.0,0.0,8.0,9.0,5.0,27.0,5.4,0.9%
178,38.0,Matthew Wright (FA),4.0,4.0,100.0,46.0,0.0,1.0,1.0,2.0,0.0,7.0,7.0,3.0,21.0,7.0,0.0%
179,39.0,Chase McLaughlin (FA),4.0,5.0,80.0,52.0,0.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,20.0,5.0,0.0%
180,40.0,Tristan Vizcaino (FA),3.0,3.0,100.0,47.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,0.0%
181,41.0,Kai Forbath (LAR),2.0,3.0,66.7,23.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,2.0,10.0,5.0,3.0%
182,42.0,Jonathan Brown (FA),1.0,2.0,50.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0%
183,43.0,Elliott Fry (FA),1.0,1.0,100.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.0%
184,44.0,Stephen Hauschka (FA),0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0%
185,45.0,Taylor Russolino (FA),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0%
186,46.0,Brandon Wright (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0%
187,47.0,Ty Long (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-2.8,-0.2,0.7%
188,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,
190,1.0,Daniel Carlson (LV),40.0,43.0,93.0,56.0,0.0,10.0,12.0,12.0,6.0,30.0,33.0,17.0,174.0,10.2,96.5%
191,2.0,Nick Folk (NE),36.0,39.0,92.3,53.0,0.0,9.0,11.0,11.0,5.0,42.0,47.0,17.0,171.0,10.1,70.6%
192,3.0,Justin Tucker (BAL),35.0,37.0,94.6,66.0,0.0,7.0,9.0,13.0,6.0,32.0,32.0,17.0,162.0,9.5,99.9%
193,4.0,Chris Boswell (PIT),36.0,40.0,90.0,56.0,0.0,9.0,8.0,11.0,8.0,27.0,29.0,17.0,162.0,9.5,11.2%
194,5.0,Matt Gay (LAR),32.0,34.0,94.1,55.0,0.0,6.0,15.0,7.0,4.0,48.0,49.0,17.0,159.0,9.4,98.0%
195,6.0,Greg Joseph (MIN),33.0,38.0,86.8,55.0,0.0,8.0,11.0,7.0,7.0,36.0,40.0,17.0,156.0,9.2,49.2%
196,7.0,Matt Prater (ARI),30.0,37.0,81.1,62.0,0.0,11.0,9.0,3.0,7.0,47.0,49.0,17.0,154.0,9.1,76.5%
197,8.0,Evan McPherson (CIN),28.0,33.0,84.8,58.0,0.0,5.0,8.0,6.0,9.0,46.0,48.0,16.0,154.0,9.6,99.8%
198,9.0,Jake Elliott (PHI),30.0,33.0,90.9,58.0,0.0,7.0,10.0,10.0,3.0,44.0,44.0,17.0,150.0,8.8,25.7%
199,10.0,Dustin Hopkins (LAC),30.0,34.0,88.2,50.0,1.0,8.0,6.0,13.0,2.0,40.0,44.0,17.0,147.0,8.6,32.5%
200,11.0,Tyler Bass (BUF),28.0,32.0,87.5,57.0,0.0,15.0,7.0,4.0,2.0,51.0,51.0,17.0,143.0,8.4,93.0%
201,12.0,Harrison Butker (KC),25.0,28.0,89.3,56.0,0.0,3.0,11.0,4.0,7.0,47.0,49.0,16.0,140.0,8.8,97.6%
