Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
238,Cody Thompson (SEA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
239,Quinton Bell (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
240,Nsimba Webster (CHI),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
241,Jacob Harris (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
242,Michael Bandy (LAC),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
243,Dillon Stoner (LV),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
244,Landen Akers (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
245,Brandon Smith (DAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
246,Osirus Mitchell (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
247,Kawaan Baker (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
248,Jalen Camp (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
249,John Brown (FA),0,3,0,0,0,0,0,0,0,0,0,3,0,0,2.00%
250,Daurice Fountain (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
251,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.00%
252,Geronimo Allison (FA),0,2,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
253,Rodney Adams (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
254,River Cracraft (MIA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
255,David Moore (CHI),0,2,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
256,Ryan Switzer (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
257,Justin Hardee (NYJ),0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.00%
258,JoJo Natson (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
259,Allen Hurns (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
260,Ty Montgomery (NE),16,26,95,5.9,21,1,0,15,44,0,0,14,0,0,1.50%
261,Devin Smith (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
262,Alex Bachman (FA),0,0,0,0,0,0,0,1,-3,0,0,2,-0.3,-0.2,0.00%
