Player,FPTS,FPTS/G,Player Segment
DaeSean Hamilton (FA),39.3,2.5,0
Denzel Mims (NYJ),37.7,4.2,0
Julian Edelman (FA),35.2,5.9,0
Adam Humphries (FA),34.8,5.0,0
Cedrick Wilson Jr. (MIA),34.6,2.2,0
Andy Isabella (ARI),33.8,2.6,0
Olamide Zaccheaus (ATL),33.4,3.0,0
Devin Duvernay (BAL),33.1,2.1,0
DeSean Jackson (FA),30.8,6.2,0
Steven Sims Jr. (PIT),30.3,2.5,0
Chad Beebe (FA),30.1,2.2,0
Chad Hansen (FA),29.6,5.9,0
Tyler Johnson (HOU),28.9,2.1,0
Dontrelle Inman (FA),28.3,2.8,0
Byron Pringle (CHI),28.0,2.3,0
Van Jefferson (LAR),27.9,1.7,0
Freddie Swain (MIA),27.9,1.7,0
Deonte Harty (NO),27.7,3.1,0
Isaiah Ford (FA),27.6,2.8,0
Mohamed Sanu Sr. (FA),27.0,2.7,0
Lynn Bowden Jr. (NE),25.6,2.6,0
Marcus Johnson (NYG),25.5,2.3,0
Bryan Edwards (ATL),25.3,2.1,0
Zay Jones (JAC),22.6,1.4,0
Mack Hollins (LV),21.6,1.4,0
Marquez Callaway (NO),21.3,1.9,0
Bisi Johnson (MIN),20.9,1.3,0
Gunner Olszewski (PIT),20.5,1.6,0
Kenny Stills (FA),20.4,2.0,0
Isaiah Wright (FA),19.3,1.4,0
John Hightower (FA),18.8,1.4,0
Equanimeous St. Brown (CHI),18.4,1.5,0
Kalif Raymond (DET),18.4,1.2,0
Cameron Batson (ATL),18.0,1.5,0
KhaDarel Hodge (ATL),18.0,2.0,0
Brandon Powell (LAR),17.6,1.2,0
Alshon Jeffery (FA),17.5,2.5,0
Mike Thomas (CIN),17.3,1.2,0
KeeSean Johnson (FA),17.3,2.2,0
Laquon Treadwell (NE),16.9,3.4,0
Jeff Smith (NYJ),16.7,1.4,0
Dez Bryant (FA),16.7,2.8,0
Quez Watkins (PHI),16.6,2.8,0
Jamal Agnew (JAC),16.2,1.2,0
Noah Brown (DAL),15.8,1.0,0
Malcolm Perry (FA),15.7,1.7,0
Auden Tate (PHI),15.0,1.7,0
Christian Blake (FA),14.1,0.9,0
Malik Taylor (FA),13.5,0.9,0
DeMichael Harris (FA),12.5,1.8,0
Ray-Ray McCloud (SF),12.2,0.8,0
Chris Hogan (FA),11.8,2.4,0
Dante Pettis (CHI),11.6,1.7,0
Javon Wims (FA),11.0,0.8,0
Alex Erickson (WAS),10.6,0.7,0
Lil'Jordan Humphrey (NE),10.6,3.5,0
Diontae Spencer (NYJ),10.5,1.0,0
J.J. Arcega-Whiteside (SEA),10.5,1.3,0
C.J. Board (FA),10.4,0.7,0
Justin Watson (KC),9.4,0.9,0
Austin Mack (FA),9.1,0.8,0
Joe Reed (LAC),8.9,0.8,0
Parris Campbell (IND),8.7,4.4,0
Austin Carr (FA),8.7,1.5,0
Trent Taylor (CIN),8.6,0.7,0
Jake Kumerow (BUF),8.2,1.4,0
Pharoh Cooper (FA),7.3,0.5,0
Courtland Sutton (DEN),6.6,6.6,0
Ashton Dulin (IND),6.4,0.5,0
Damion Ratley (FA),6.3,1.3,0
Tyrie Cleveland (DEN),6.3,0.6,0
Ja'Marcus Bradley (FA),6.0,2.0,0
Steven Mitchell Jr. (FA),6.0,1.0,0
Jaydon Mickens (FA),5.8,0.6,0
KJ Hill Jr. (FA),5.3,0.4,0
Nick Westbrook-Ikhine (TEN),5.3,0.4,0
Trent Sherfield (MIA),5.0,0.3,0
Isaiah Zuber (LV),5.0,1.3,0
River Cracraft (MIA),4.1,0.5,0
Ted Ginn Jr. (FA),4.0,0.8,0
Riley Ridley (FA),3.9,0.8,0
Robert Foster (FA),3.7,0.9,0
Brandon Zylstra (FA),3.6,0.2,0
Lawrence Cager (NYJ),3.5,1.8,0
Terry Godwin (FA),3.5,1.2,0
Seth Roberts (FA),3.1,0.4,0
Josh Malone (FA),2.8,0.7,0
Darrius Shepherd (DEN),2.6,0.3,0
Antonio Gandy-Golden (FA),2.5,0.4,0
Daurice Fountain (KC),2.3,0.5,0
Penny Hart (SEA),2.2,0.2,0
Antonio Callaway (FA),2.0,0.4,0
Donte Moncrief (FA),1.9,0.3,0
Deontay Burnett (FA),1.9,1.0,0
Tommylee Lewis (FA),1.9,0.4,0
John Ross (FA),1.7,0.6,0
Jaleel Scott (FA),1.6,1.6,0
